0 0 2
0.0612245 0 2.40004
0.122449 0 2.71028
0.183673 0 2.56568
0.244898 0 2.38967
0.306122 0 2.13979
0.367347 0 1.84439
0.428571 0 1.57596
0.489796 0 1.37331
0.55102 0 1.23485
0.612245 0 1.14467
0.673469 0 1.08753
0.734694 0 1.05213
0.795918 0 1.03066
0.857143 0 1.01783
0.918367 0 1.00957
0.979592 0 1
1.04082 0 0
1.10204 0 0
1.16327 0 0
1.22449 0 0
1.28571 0 0
1.34694 0 0
1.40816 0 0
1.46939 0 0
1.53061 0 0
1.59184 0 0
1.65306 0 0
1.71429 0 0
1.77551 0 0
1.83673 0 0
1.89796 0 0
1.95918 0 0
2.02041 0 1
2.08163 0 1
2.14286 0 1
2.20408 0 1
2.26531 0 1
2.32653 0 1
2.38776 0 1
2.44898 0 1
2.5102 0 1
2.57143 0 1
2.63265 0 1
2.69388 0 1
2.7551 0 1
2.81633 0 1
2.87755 0 1
2.93878 0 1
3 0 1

0 0.0612245 2
0.0612245 0.0612245 3.24882
0.122449 0.0612245 3.29391
0.183673 0.0612245 2.99038
0.244898 0.0612245 2.73782
0.306122 0.0612245 2.47568
0.367347 0.0612245 2.17534
0.428571 0.0612245 1.86113
0.489796 0.0612245 1.58486
0.55102 0.0612245 1.37683
0.612245 0.0612245 1.23522
0.673469 0.0612245 1.14401
0.734694 0.0612245 1.08704
0.795918 0.0612245 1.05232
0.857143 0.0612245 1.03185
0.918367 0.0612245 1.02051
0.979592 0.0612245 1.01497
1.04082 0.0612245 0
1.10204 0.0612245 0
1.16327 0.0612245 0
1.22449 0.0612245 0
1.28571 0.0612245 0
1.34694 0.0612245 0
1.40816 0.0612245 0
1.46939 0.0612245 0
1.53061 0.0612245 0
1.59184 0.0612245 0
1.65306 0.0612245 0
1.71429 0.0612245 0
1.77551 0.0612245 0
1.83673 0.0612245 0
1.89796 0.0612245 0
1.95918 0.0612245 0
2.02041 0.0612245 1
2.08163 0.0612245 1
2.14286 0.0612245 1
2.20408 0.0612245 1
2.26531 0.0612245 1
2.32653 0.0612245 1
2.38776 0.0612245 1
2.44898 0.0612245 1
2.5102 0.0612245 1
2.57143 0.0612245 1
2.63265 0.0612245 1
2.69388 0.0612245 1
2.7551 0.0612245 1
2.81633 0.0612245 1
2.87755 0.0612245 1
2.93878 0.0612245 1
3 0.0612245 1

0 0.122449 2
0.0612245 0.122449 2.47958
0.122449 0.122449 2.60421
0.183673 0.122449 2.50095
0.244898 0.122449 2.40665
0.306122 0.122449 2.34291
0.367347 0.122449 2.23684
0.428571 0.122449 2.0312
0.489796 0.122449 1.76178
0.55102 0.122449 1.51066
0.612245 0.122449 1.32278
0.673469 0.122449 1.198
0.734694 0.122449 1.11977
0.795918 0.122449 1.07234
0.857143 0.122449 1.04476
0.918367 0.122449 1.03018
0.979592 0.122449 1.02585
1.04082 0.122449 0
1.10204 0.122449 0
1.16327 0.122449 0
1.22449 0.122449 0
1.28571 0.122449 0
1.34694 0.122449 0
1.40816 0.122449 0
1.46939 0.122449 0
1.53061 0.122449 0
1.59184 0.122449 0
1.65306 0.122449 0
1.71429 0.122449 0
1.77551 0.122449 0
1.83673 0.122449 0
1.89796 0.122449 0
1.95918 0.122449 0
2.02041 0.122449 1
2.08163 0.122449 1
