0 0 3 0.5 0
0.0508475 0 3.04461 0 0
0.101695 0 2.73002 0 0
0.152542 0 2.48631 0 0
0.20339 0 2.31505 0 0
0.254237 0 2.19897 0 0
0.305085 0 2.12242 0 0
0.355932 0 2.07551 0 0
0.40678 0 2.05082 0 0
0.457627 0 2.04314 0 0
0.508475 0 2.04946 0 0
0.559322 0 2.06877 0 0
0.610169 0 2.10155 0 0
0.661017 0 2.14879 0 0
0.711864 0 2.20989 0 0
0.762712 0 2.27817 0 0
0.813559 0 2.33302 0 0
0.864407 0 2.31522 0 0
0.915254 0 2.08152 0 0
0.966102 0 1 0 0
1.01695 0 0 0 0
1.0678 0 0 0 0
1.11864 0 0 0 0
1.16949 0 0 0 0
1.22034 0 0 0 0
1.27119 0 0 0 0
1.32203 0 0 0 0
1.37288 0 0 0 0
1.42373 0 0 0 0
1.47458 0 0 0 0
1.52542 0 0 0 0
1.57627 0 0 0 0
1.62712 0 0 0 0
1.67797 0 0 0 0
1.72881 0 0 0 0
1.77966 0 0 0 0
1.83051 0 0 0 0
1.88136 0 0 0 0
1.9322 0 0 0 0
1.98305 0 0 0 0
2.0339 0 1 0 0
2.08475 0 1 -2.49996e-10 -1.93903e-09
2.13559 0 1 -3.0787e-10 -3.59855e-09
2.18644 0 1 -1.98924e-10 -4.89564e-09
2.23729 0 1 2.42641e-11 -5.78353e-09
2.28814 0 1 3.02358e-10 -6.25462e-09
2.33898 0 1 5.80952e-10 -6.33994e-09
2.38983 0 1 8.18277e-10 -6.10184e-09
2.44068 0 1 9.88667e-10 -5.62168e-09
2.49153 0 1 1.08226e-09 -4.98621e-09
2.54237 0 1 1.10208e-09 -4.27583e-09
2.59322 0 1 1.05971e-09 -3.55671e-09
2.64407 0 1 9.70964e-10 -2.87699e-09
2.69492 0 1 8.52121e-10 -2.26642e-09
2.74576 0 1 7.17271e-10 -1.73832e-09
2.79661 0 1 5.76703e-10 -1.29248e-09
2.84746 0 1 4.36122e-10 -9.1802e-10
2.89831 0 1 2.9642e-10 -5.95723e-10
2.94915 0 1 1.53805e-10 -2.99736e-10
3 0 1 0 0

0 0.0512821 3 0.5 0
0.0508475 0.0512821 3.92572 0.338969 0.0426308
0.101695 0.0512821 3.28153 0.34259 0.0459212
0.152542 0.0512821 2.97469 0.314724 0.0404399
0.20339 0.0512821 2.71534 0.289168 0.0326774
0.254237 0.0512821 2.52656 0.26414 0.0254669
0.305085 0.0512821 2.38512 0.241413 0.019672
0.355932 0.0512821 2.2795 0.220956 0.0152984
0.40678 0.0512821 2.20252 0.202418 0.0119733
0.457627 0.0512821 2.15048 0.185322 0.00914001
0.508475 0.0512821 2.12152 0.169127 0.00610035
0.559322 0.0512821 2.11467 0.153242 0.00200978
0.610169 0.0512821 2.12942 0.137103 -0.00411143
0.661017 0.0512821 2.1651 0.120417 -0.013305
0.711864 0.0512821 2.21966 0.103552 -0.0264205
0.762712 0.0512821 2.28564 0.0877375 -0.0435642
0.813559 0.0512821 2.3502 0.0751292 -0.0628475
0.864407 0.0512821 2.3715 0.0649999 -0.0787243
0.915254 0.0512821 2.34854 0.0534884 -0.074872
0.966102 0.0512821 2.07884 0 0
1.01695 0.0512821 0 0 0
1.0678 0.0512821 0 0 0
1.11864 0.0512821 0 0 0
1.16949 0.0512821 0 0 0
1.22034 0.0512821 0 0 0
1.27119 0.0512821 0 0 0
1.32203 0.0512821 0 0 0
1.37288 0.0512821 0 0 0
1.42373 0.0512821 0 0 0
1.47458 0.0512821 0 0 0
1.52542 0.0512821 0 0 0
1.57627 0.0512821 0 0 0
1.62712 0.0512821 0 0 0
1.67797 0.0512821 0 0 0
1.72881 0.0512821 0 0 0
1.77966 0.0512821 0 0 0
1.83051 0.0512821 0 0 0
1.88136 0.0512821 0 0 0
1.9322 0.0512821 0 0 0
1.98305 0.0512821 0 0 0
2.0339 0.0512821 1 0 0
2.08475 0.0512821 1 -2.49996e-10 -1.93903e-09
2.13559 0.0512821 1 -3.0787e-10 -3.59855e-09
2.18644 0.0512821 1 -1.98924e-10 -4.89564e-09
2.23729 0.0512821 1 2.42641e-11 -5.78353e-09
2.28814 0.0512821 1 3.02358e-10 -6.25462e-09
2.33898 0.0512821 1 5.80952e-10 -6.33994e-09
2.38983 0.0512821 1 8.18277e-10 -6.10184e-09
2.44068 0.0512821 1 9.88667e-10 -5.62168e-09
2.49153 0.0512821 1 1.08226e-09 -4.98621e-09
2.54237 0.0512821 1 1.10208e-09 -4.27583e-09
2.59322 0.0512821 1 1.05971e-09 -3.55671e-09
2.64407 0.0512821 1 9.70964e-10 -2.87699e-09
2.69492 0.0512821 1 8.52121e-10 -2.26642e-09
2.74576 0.0512821 1 7.17271e-10 -1.73832e-09
2.79661 0.0512821 1 5.76703e-10 -1.29248e-09
2.84746 0.0512821 1 4.36122e-10 -9.1802e-10
2.89831 0.0512821 1 2.9642e-10 -5.95723e-10
2.94915 0.0512821 1 1.53805e-10 -2.99736e-10
3 0.0512821 1 0 0

0 0.102564 3 0.5 0
0.0508475 0.102564 3.08975 0.478874 0.109605
0.101695 0.102564 2.82432 0.490503 0.120257
0.152542 0.102564 2.62153 0.4816 0.111256
0.20339 0.102564 2.45167 0.46385 0.0938369
0.254237 0.102564 2.32013 0.44084 0.0760745
0.305085 0.102564 2.22218 0.415815 0.0604955
0.355932 0.102564 2.15322 0.390645 0.0477424
0.40678 0.102564 2.10849 0.366248 0.0375012
0.457627 0.102564 2.08371 0.342731 0.0289173
0.508475 0.102564 2.07595 0.319516 0.0207412
